contract_address,project_dir,ok,message,used_version,strategy,mode,main_file,elapsed_s,original_idx,label
0x1c20acf90f08643b922cd7db7946663ee8fcc173,contracts/0x1c20acf90f08643b922cd7db7946663ee8fcc173,True,Compiled OK,0.8.7,initial,all_files,,0.749,125358,"totalSupply().add(_count)<=MaxSupplyPresale,""Presale ended"""
0xb1d1b801e6aeae17d337d444a2c501c701648010,contracts/0xb1d1b801e6aeae17d337d444a2c501c701648010,True,Compiled OK,0.8.6,initial,all_files,,0.49,95025,balances[to]+amount>balances[to]
0xf43645047e6e892ed09c4fcddc4ead08c6666f4c,contracts/0xf43645047e6e892ed09c4fcddc4ead08c6666f4c,True,Compiled OK,0.8.0,initial,standard,,2.43,57747,"ERC20(diaDataNFTImpl.paymentToken()).transferFrom(msg.sender,diaDataNFTImpl.burnAddress(),diaDataNFTImpl.burnAmount()),""Payment token transfer to burn address failed."""
0x30f91a5ed1f8a33b9f62adfb3234738184648d72,contracts/0x30f91a5ed1f8a33b9f62adfb3234738184648d72,True,Compiled OK,0.8.10,initial,standard,,3.752,192539,"boundss_[b_].stackIndex>=boundss_[b_].minFinalStackIndex,""FINAL_STACK_INDEX"""
0xf0bdea9a111ebb91f12899f355af6f824cd96e75,contracts/0xf0bdea9a111ebb91f12899f355af6f824cd96e75,True,Compiled OK,0.6.9,initial,all_files,,0.434,120117,"tos.length==ids.length,""PARAM_NOT_MATCH"""
0x87670285fd67bff278003eb35b9a7850a8c33623,contracts/0x87670285fd67bff278003eb35b9a7850a8c33623,True,Compiled OK,0.8.17,initial,standard,,1.7,229212,"totalSupply()+_totalMint<=maxSupply,""Sold out"""
0xf3e778f839934fc819cfa1040aabacecba01e049,contracts/0xf3e778f839934fc819cfa1040aabacecba01e049,True,Compiled OK,0.5.14,initial,all_files,,0.437,337901,tokenIdByGenerationWaveAndSerial[uint8(_generation)][uint8(_wave)][_serial]==0
0x9521b59d0531e42f746a7a2d7e096029c891acd8,contracts/0x9521b59d0531e42f746a7a2d7e096029c891acd8,True,Compiled OK,0.6.6,initial,all_files,,0.422,342796,"block.timestamp>endsOn.add(31536000).mul(2),""must wait until 6 months past end date"""
0xc776f5bd78b99bb41195ead1b52882e051f750be,contracts/0xc776f5bd78b99bb41195ead1b52882e051f750be,True,Compiled OK,0.6.12,initial,standard,,0.771,500019,"sender.amount+sender.pendingAmount>=amount,""transfer exceeds amount"""
0x589373c267b652d4a2b6ecd53034d63eba73d3a5,contracts/0x589373c267b652d4a2b6ecd53034d63eba73d3a5,True,Compiled OK,0.8.20,initial,all_files,,0.545,210377,"airdropList.length<251,""GAS Error: max airdrop limit is 251 addresses"""
