original_idx,label,contract_address
31013,"_moneyMarket.isContract()&&_stablecoin.isContract()&&_feeModel.isContract()&&_interestModel.isContract()&&_interestOracle.isContract()&&_depositNFT.isContract()&&_fundingNFT.isContract()&&_mphMinter.isContract(),""DInterest: An input address is not a contract""",0x5421ea9a76f116b283385a82fc50b64cf2121a64
493197,"isAddressClaimed(msg.sender)==0,""This address has already claimed.""",0x846bb98ea9bd5e766d5fdb1a415e0cf0202d3801
15488,"stored.orderType==BUY_TYPE||stored.orderType==BUY_INVERTED_TYPE,'OS_INVALID_ORDER_TYPE'",0x8743cc30727e9e460a5e69e217893f42dfad1650
233123,"quality+totalSupply()<=maxSupply,""NFT supply is full""",0x8e891aa917387e97e8e314c5002f2f90acbb430c
98598,msg.sender==_devWallet,0xb996c8c55a13694dbf6a544ca4192bc433038058
89455,"numberMinted(msg.sender)+quantity<=5,""can not mint this many""",0x22f1ef1d49438a39ad65863088aae9cbb2eb54fa
507728,"_extensions.contains(msg.sender),""Must be registered extension""",0x251c70d4276deb227fe58ff309f33671a46a86bc
449604,"msg.sender!=_auctionInfos[auctionID].highestBidder,""highestBidder does not allow to withdraw.""",0x6f06d96228f0d81443642f1c00e976d750b2ea69
380349,msg.sender==gameControllerAddress,0x0ae3353da57d8a75a7015176808e4dbea433791c
293038,"numTokensMinted+numberOfTokens<=MAX_TOKENS_PUBLIC_MINT,""We are sold out.""",0xd076300c27890b4652466adbd3be5fdba4b5273a
350834,"_exchangeWallets[wallet],""This wallet does not exists in exchange wallets""",0xd2287a52287dd64ae2c690d74322e2e345dc8f69
23434,"(allowed[msg.sender][_spender]==0)||(_amount==0),""Approve amount error""",0xfffff4ff386013f4b9dac8874f856dec0e802467
491729,"userToAmounts[_user]>0&&claimed[_user]!=true,""ClaimFunds: User not set or already claimed""",0x48c881ee9bc4a95de428bc0d34fe8e9691f9e893
284122,"bondState.willUnlock>0&&now>bondState.willUnlock,'BOND_NOT_UNLOCKED'",0x46ad2d37ceaee1e82b70b867e674b903a4b4ca32
