original_idx,label,contract_address,etherscan_ok,compiler_version,n_files,compile_ok,message
396353,"_data.length==l_data,""invalid data length""",0xd6ed83a29888ab25887292a0a6dbc10271f125eb,True,0.5.11,1,True,Compiled OK
339525,"(id<=id_of_period_2||crypto_hands.viewuserlevelexpired(msg.sender,6)>now),'you must have level 6 in cryptohands, or id <= 32'",0x24f84be4a68b57fb00f831cca126759f17639687,True,0.5.16,1,True,Compiled OK
122096,address(_dutchauction)!=address(0),0x5b9c5a4e10f77da6a47937579647958aff086259,True,0.8.17,21,True,Compiled OK
22075,_amount.mul(_releaserate).div(100)>0,0xbf85479abcf60328cd7224f43ecd71e2f9a282f8,True,0.4.25,1,True,Compiled OK
6829,msg.sender==debtor||msg.sender==underwriter,0x10512440113cb6cb613be403135876d2e0a42c0b,True,0.4.18,1,True,Compiled OK
15963,"block.timestamp>=starttimestamp,""vesting: not started""",0x5cd63bed68c69e719917b95f5d7b999b3f29ed16,True,0.7.6,6,True,Compiled OK
440378,"msg.value>=_count*cost,""incorrect eth amount""",0xdb4b7fc049f8f9e963203d6e6bae69ff01f99e87,True,0.8.7,1,True,Compiled OK
261873,"owner()==msg.sender||manager==msg.sender,""unauthorized""",0x963c3d25101ff6cca1f79695a2bfeed33a383e5e,True,0.8.17,1,True,Compiled OK
297689,"team.getcountposition(_teamid,_position)<team.countplayersinposition()",0x65f3f1a2e66323a17d7f177db86bb326071e87f9,True,0.4.21,1,True,Compiled OK
120858,"msg.sender==dev_address,""not the developer!""",0x8ebe1801c2022444e14a123850f663a84a06d2cf,True,0.8.7,7,True,Compiled OK
362143,"_hasaccess(access.burn,_msgsender()),""not allowed to burn""",0xc08f2f8946593a8da611f70747b4360006b5b2c5,True,0.8.11,7,True,Compiled OK
170502,"totalsupply().add(mintamount)<=986,""presale sold out""",0x6fafe72f23ea990dab8131993657e46d290b128d,True,0.8.13,1,True,Compiled OK
166872,"ethprice[cardtype]!=0,""eth price haven't set""",0x7bd289e09b922206f2ae21026d2f872851f64e7e,True,0.8.18,19,True,Compiled OK
184415,"(_marketingprcnt+_burnprcnt+_shibaprcnt+_liquidityprcnt+_rewardprcnt)<=20,""fees are too high""",0x6649367ef4eb8202ff5a69a9033d1bb1d6051b80,True,0.8.2,1,True,Compiled OK
362148,_gallerycontents[tokenid][frameindex]._contract_address!=address(0),0xf7b30915db932ec94e04a7f0208a63cc8eb87aa9,True,0.8.4,15,True,Compiled OK
117793,"_tokenidcounter.current()+count<=_maxtokenid,""no nft can be minted""",0xbdb9b26636caab1c11aab60307d5c8c1e1904a48,True,0.8.7,1,True,Compiled OK
228260,"owner()==msg.sender||ownerassistant()==msg.sender,""caller not the owner or assistant""",0x4cb69fae7e7af841e44e1a1c30af640739378bb2,True,0.8.19,22,True,Compiled OK
482399,"balanceof(to)+amount<=this.maxwallet(to),""max wallet limit""",0x55e72144930df76048d63f1a61699c9821dde159,True,0.8.17,6,True,Compiled OK
120681,"(sender!=prohbted1),"".""",0xc3b41da403a36da5cb1251b6366e09d7a086031b,True,0.6.12,1,True,Compiled OK
392302,"amount.add(this.totalsupply())<=max_tokens,""cannot mint more than max_tokens""",0xb7e31b58fdec02d1e9d39c5f9704188b8ec5a9eb,True,0.7.6,9,True,Compiled OK
280536,"freeminters[msg.sender]+numberoftoken<=maxfree,""free_minter_max_exceeded""",0xa27416028df9ca6dcbead109d238c94dd2f37fc8,True,0.8.7,14,True,Compiled OK
113965,array.length==desired.length,0x384a47e8a61c6d3eeddae213c1c18398e3eceac7,True,0.4.23,18,True,Compiled OK
328444,"totalsupply()+_mintamount<=maxsupplyfordevs,""max supply exceeded!""",0x329ee913aeb384822a96c71b609736c77aa5e8a3,True,0.8.7,1,True,Compiled OK
7695,"_offer.loanerc20denomination==_listingterms.loanerc20denomination,""invalid loanerc20denomination""",0x67f354abf33783b4bf09154aa92f7a96774fc005,True,0.8.4,36,True,Compiled OK
71815,"users[msg.sender].token_balance!=0,""presale: 0 to claim""",0xad935f206547a2e8f296e75ea01b816464b7ed17,True,0.8.18,1,True,Compiled OK
455961,operators[_operator]==false,0xc442631329e114dbcb18ebd12cfb1db82035350d,True,0.8.4,16,True,Compiled OK
230401,"_metadatamap[ids[i]]==0,erroralreadyminted",0x82e8a870fb7ca9551a5496d2f9435a16d139221a,True,0.8.9,14,True,Compiled OK
197282,"mint_num[msg.sender]+num<=saleconfig.max_num,""exceeded max token purchase..""",0xe76877a17b4782b638dfb76deb5df748998db6a5,True,0.8.7,1,True,Compiled OK
468602,"_isverifiedcoupon(digest,_authorization),'invalid authorization'",0x06c2861f3c8f10efdb32e6ac8e0144f99ae1e87e,True,0.8.9,5,True,Compiled OK
255252,"ierc721upgradeable(nftcontractaddress).ownerof(nftid)==owner,""00021""",0x0830b62367f0e0bce9f3742f2bd3c128d8b80b23,True,0.8.13,29,True,Compiled OK
501496,"_stringdata.length==2,""string list needs 4 string inputs""",0xe38ef67128dde652d8a8bb3aabc4e170e121be10,True,0.8.21,6,True,Compiled OK
495508,"numgiftedtokens+numberoftokens<=maxgiftedtokens,""not enough tokens remaining to gift""",0xa95cccbca85d4bb99549ec09e3d83ce1e88988ae,True,0.8.9,16,True,Compiled OK
189041,"(totalsupply+nummints)<=max_supply,""max supply reached""",0x339cac7e7719d701a251930ebe5ea10e37a2fd0a,True,0.8.7,11,True,Compiled OK
196971,"block.timestamp>=releasetimestamp,'purchase is not available now'",0x796188b0ca32c129c0cc8a38356715f7b85a4476,True,0.8.13,15,True,Compiled OK
100792,"iconfigcontract(_configcontract).getisenabled(address(this)),""transfer is not enabled""",0xe629a1ce48087ec4a2a64eb3c00892bfb83c4bf6,True,0.8.4,16,True,Compiled OK
441028,"_balances[seller]>=tokenamount,'cannot sell above token amount'",0x564ea1fcf1ba9ebd151ec3f34208cfaf1062f524,True,0.8.17,1,True,Compiled OK
376192,"(block.timestamp-_proposedownershiptimestamp)>_delay,""#ro:030""",0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,True,0.8.4,13,True,Compiled OK
170442,"timestamp()>=timestamp_,""sales have not started yet""",0x12bbed7d7cd487d0e34920083a3d523872bcf1f6,True,0.8.18,30,True,Compiled OK
6690,"_books[msg.sender]==address(0),""user must not have a preexisting book""",0xa0a9215aec00c684cdbf46874d39338a6a0fd937,True,0.5.11,0,False,No files written (empty SourceCode or sanitized away)
43355,"verifycollab(_merkleproof,msg.sender),""collab_not_verified""",0xdf0e921f7e5a837805bfbe02012db648a12d72cc,True,0.8.9,14,True,Compiled OK
24648,"msg.value>=count*multi_mint_prce,""multi mint costs 0.029 ether per steve""",0x7e282e025175fafaf00e70ac43c226053c205fe6,True,0.8.6,13,True,Compiled OK
