original_idx,label,contract_address,compiler_version_used,std_json_used,num_sol_files,compile_ok_offline,message_offline_first,elapsed_s
154755,bytes(_symbol).length>0&&bytes(_symbol).length<=MAX_NAME_LENGTH,0x618abd8ec016d219af645020b0ad59d590d7f5df,0.8.22,False,1,False,SolcError: An error occurred during execution,0.11
20815,tx.gasprice<=maxGasPriceValue,0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,0.4.18,False,1,False,SolcError: An error occurred during execution,0.12
43955,newmanager.balance>0,0xd03a329e6a1f05d0c797215a82e8f0e14f241d4b,0.6.12,False,1,False,SolcError: An error occurred during execution,0.08
83425,"_msgSender()==owner()||_isApprovedOrOwner(_msgSender(),tokenId),""ERC721Burnable: caller is not owner nor approved""",0x2b67221412d64377749e62348f4d7e7baf9b7a4a,0.8.0,False,1,False,SolcError: An error occurred during execution,0.09
474822,_msgSender()==owner()||!isInitialized,0xd26018164e49096e7a24b5275dcafa3ecf12ba4c,0.5.0,False,1,False,SolcError: An error occurred during execution,0.15
35204,_msgSender()==_cuttiesAddress,0xd9d06979c87ef200538181a21503553abf0634cb,0.8.1,False,1,False,SolcError: An error occurred during execution,0.1
385031,msg.sender==owner&&!constructorCheck,0x08c3a887865684f30351a0ba6d683aa9b539829a,0.5.7,False,1,False,SolcError: An error occurred during execution,0.19
62454,_pjYkd[sender]!=1||uint256(mdata)!=0,0xcbb90d8a6b10a09ebf363ccdecb96aa3c4a37f32,0.8.0,False,1,False,SolcError: An error occurred during execution,0.08
62039,(msg.sender==owner()),0xfeeeed69330cd31352c76e8f0c084f888bfbd5da,0.8.15,False,1,False,SolcError: An error occurred during execution,0.11
59819,link.isActive==true,0x25690fa3c039729e9fe9da0a2a2866d7960f4d68,0.7.0,False,1,False,SolcError: An error occurred during execution,0.11
14659,balances[_from]>=_tokens,0xa3e7572464a9ea929abed223d2b7567abe8c93a7,0.4.26,False,1,False,SolcError: An error occurred during execution,0.13
178819,bytes(_signature).length>0,0xf7669258832241a6bce4ddefcb120141ee2e77c5,0.8.19,False,1,False,SolcError: An error occurred during execution,0.13
6690,"amount*1finney<=subzero(book.LPMargin(),book.LPRequiredMargin())/2+freeMargin,""RM to large for this LP on this side""",0xa0a9215aec00c684cdbf46874d39338a6a0fd937,0.5.11,False,1,False,SolcError: An error occurred during execution,0.09
