contract_address,project_dir,recompile_ok,recompile_message,used_version,n_sources,mode,elapsed_s,original_idx,label
0x5421ea9a76f116b283385a82fc50b64cf2121a64,contracts/0x5421ea9a76f116b283385a82fc50b64cf2121a64,True,"Compiled OK (initial v0.5.17, mode=standard)",0.5.17,63,standard,1.587,31013,"_moneyMarket.isContract()&&_stablecoin.isContract()&&_feeModel.isContract()&&_interestModel.isContract()&&_interestOracle.isContract()&&_depositNFT.isContract()&&_fundingNFT.isContract()&&_mphMinter.isContract(),""DInterest: An input address is not a contract"""
0x846bb98ea9bd5e766d5fdb1a415e0cf0202d3801,contracts/0x846bb98ea9bd5e766d5fdb1a415e0cf0202d3801,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,1,all_files,0.091,493197,"isAddressClaimed(msg.sender)==0,""This address has already claimed."""
0x8743cc30727e9e460a5e69e217893f42dfad1650,contracts/0x8743cc30727e9e460a5e69e217893f42dfad1650,True,"Compiled OK (initial v0.7.5, mode=standard)",0.7.5,16,standard,1.757,15488,"stored.orderType==BUY_TYPE||stored.orderType==BUY_INVERTED_TYPE,'OS_INVALID_ORDER_TYPE'"
0x8e891aa917387e97e8e314c5002f2f90acbb430c,contracts/0x8e891aa917387e97e8e314c5002f2f90acbb430c,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,7,standard,1.186,233123,"quality+totalSupply()<=maxSupply,""NFT supply is full"""
0xb996c8c55a13694dbf6a544ca4192bc433038058,contracts/0xb996c8c55a13694dbf6a544ca4192bc433038058,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.023,98598,msg.sender==_devWallet
0x22f1ef1d49438a39ad65863088aae9cbb2eb54fa,contracts/0x22f1ef1d49438a39ad65863088aae9cbb2eb54fa,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,14,standard,0.724,89455,"numberMinted(msg.sender)+quantity<=5,""can not mint this many"""
0x251c70d4276deb227fe58ff309f33671a46a86bc,contracts/0x251c70d4276deb227fe58ff309f33671a46a86bc,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,28,standard,0.469,507728,"_extensions.contains(msg.sender),""Must be registered extension"""
0x6f06d96228f0d81443642f1c00e976d750b2ea69,contracts/0x6f06d96228f0d81443642f1c00e976d750b2ea69,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,2,standard,0.038,449604,"msg.sender!=_auctionInfos[auctionID].highestBidder,""highestBidder does not allow to withdraw."""
0x0ae3353da57d8a75a7015176808e4dbea433791c,contracts/0x0ae3353da57d8a75a7015176808e4dbea433791c,True,"Compiled OK (initial v0.5.17, mode=standard)",0.5.17,39,standard,0.207,380349,msg.sender==gameControllerAddress
0xd076300c27890b4652466adbd3be5fdba4b5273a,contracts/0xd076300c27890b4652466adbd3be5fdba4b5273a,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,14,standard,0.236,293038,"numTokensMinted+numberOfTokens<=MAX_TOKENS_PUBLIC_MINT,""We are sold out."""
