,original_index,contract_id,ground_truth,synthesized,note,result
0,0,201804_BEC,_value <= uint256(-1) / cnt,_to!=address(0),,The predicates are not equivalent and neither is stronger.
1,1,201804_SmartMesh,,"(!_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",no_gt_from_diff,no_gt
2,2,202008_Opyn,msg.value == underlyingRequiredToExercise(oTokensToExercise),"* these events, however is not implemented here.",,The predicates are not equivalent and neither is stronger.
3,3,202102_Yearn_ydai,msg.sender == governance,"safeDecreaseAllowance(IERC20 token,address spender,uint256 value)internal{",,The predicates are not equivalent and neither is stronger.
4,4,202109_Nimbus,balance0Adjusted.mul(balance1Adjusted) >= uint(_reserve0).mul(_reserve1).mul(10_000**2),},,The predicates are not equivalent and neither is stronger.
5,5,202201_Anyswap,v == 27 || v == 28,"address sender,",,The predicates are not equivalent and neither is stronger.
6,6,202202_TecraSpace,_allowances[from][msg.sender] >= amount,2,,The predicates are not equivalent and neither is stronger.
7,7,202206_InverseFinance,crvLPTokenPrice >= lower && crvLPTokenPrice <= upper,crvLPTokenPrice>=lower&&crvLPTokenPrice<=upper,,The predicates are equivalent.
8,8,202209_BadGuysbyRPF,_numberMinted(msg.sender) + chosenAmount <= 1,*,,The predicates are not equivalent and neither is stronger.
9,9,202210_N00d,!__lock_modifier0_lock,d85a470,,The predicates are not equivalent and neither is stronger.
10,10,202210_Uerii,totalSupply() + amount <= CAP,decreaseAllowance(,,The predicates are not equivalent and neither is stronger.
11,11,202212_JAY,!__lock_modifier0_lock,",",,The predicates are not equivalent and neither is stronger.
12,12,202305_ERC20TokenBank,namount >= (camount * 995) / 1000,c>=a,,The predicates are not equivalent and neither is stronger.
13,13,202306_VINU,size == 0,) public view virtual override returns (uint256) {,,The predicates are not equivalent and neither is stronger.
14,14,202308_Uwerx,uniswapPoolAddress!=address(0x1),"usually opt for a value of 18, imitating the relationship between",,The predicates are not equivalent and neither is stronger.
15,15,202308_Uwerx,_balances[to]==(toBalance - userTransferAmount),(`505/10**2`).,,The predicates are not equivalent and neither is stronger.
16,16,202309_JumpFarm,TOKEN.balanceOf(address(this)) <= balanceBefore,@param _amount uint256,,The predicates are not equivalent and neither is stronger.
17,17,202309_uniclyNFT,!__lock_modifier0_lock,.0;,,The predicates are not equivalent and neither is stronger.
18,18,202310_pSeudoEth,balance0 - reserve0 <= reserve0 / 10,x)/2;,,The predicates are not equivalent and neither is stronger.
19,19,202310_pSeudoEth,balance1 - reserve1 <= reserve1 / 10,)/2;,,The predicates are not equivalent and neither is stronger.
20,20,202311_grok,,path[0]=address(this);,no_gt_from_diff,no_gt
21,21,202404_HoppyFrogERC,swapAmount <= maxSwapForSell,=address(this).balance;,,The predicates are not equivalent and neither is stronger.
22,22,202406_JokInTheBox,!currentStake.unstaked,0] = LockPeriod({,,The predicates are not equivalent and neither is stronger.
23,23,202406_WIFCOIN_ETH,_earned > totalRewardsPerWalletPerPlan[_stakingId][msg.sender],"Address: unable to send value, recipient may have reverted"");",,The predicates are not equivalent and neither is stronger.
24,24,202408_OMPxContract,"block.timestamp >= lastInteractionTimestamp[msg.sender] + 30 seconds); //, ""Cooldown active: please wait before performing another action.""","10000000000000000000000000,100);",,The predicates are not equivalent and neither is stronger.
25,25,202409_Bedrock_DeFi,uniBTCAmount * 1e10 < msg.value,igence.consensys.net/posts/2019/09/stop-using-soliditys-transfer-now/[Learn more].,,The predicates are not equivalent and neither is stronger.
26,26,202409_OnyxDAO,repayAmount == borrowedAmount,return 0;,,The predicates are not equivalent and neither is stronger.
27,27,202603_AlkemiEarn,msg.sender != targetAccount,"ILED,",,The predicates are not equivalent and neither is stronger.
28,28,202406_APEMAGA,msg.sender == account,_msgSender()==_owner,,The predicates are not equivalent and neither is stronger.
29,29,202301_QTN,msg.sender == address(uniswapV2Router),{,,The predicates are not equivalent and neither is stronger.
