,original_index,contract_id,ground_truth,synthesized,note,result
0,0,201804_BEC,_value <= uint256(-1) / cnt,_to!=address(0),,The predicates are not equivalent and neither is stronger.
1,1,201804_SmartMesh,total >= _feeSmt && total >= _value,"(!_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",,The predicates are not equivalent and neither is stronger.
2,2,202008_Opyn,msg.value == underlyingRequiredToExercise(oTokensToExercise),"* these events, however is not implemented here.",,The predicates are not equivalent and neither is stronger.
3,3,202102_Yearn_ydai,msg.sender == governance,"safeDecreaseAllowance(IERC20 token,address spender,uint256 value)internal{",,The predicates are not equivalent and neither is stronger.
4,4,202102_Yearn_ydai,msg.sender == governance,"ance(IERC20 token,address spender,uint256 value)internal{",,The predicates are not equivalent and neither is stronger.
5,5,202109_Nimbus,balance0Adjusted.mul(balance1Adjusted) >= uint(_reserve0).mul(_reserve1).mul(10_000**2),},,The predicates are not equivalent and neither is stronger.
6,6,202201_Anyswap,v == 27 || v == 28,"address sender,",,The predicates are not equivalent and neither is stronger.
7,7,202202_TecraSpace,_allowances[from][msg.sender] >= amount,2,,The predicates are not equivalent and neither is stronger.
8,8,202206_InverseFinance,,crvLPTokenPrice>=lower&&crvLPTokenPrice<=upper,no_gt_from_diff,no_gt
9,9,202209_BadGuysbyRPF,_numberMinted(msg.sender) + chosenAmount <= 1,*,,The predicates are not equivalent and neither is stronger.
10,10,202210_N00d,,d85a470,no_gt_from_diff,no_gt
11,11,202210_Uerii,totalSupply() + amount <= CAP,decreaseAllowance(,,The predicates are not equivalent and neither is stronger.
12,12,202212_JAY,!__lock_modifier0_lock,",",,The predicates are not equivalent and neither is stronger.
13,13,202212_JAY,!__lock_modifier0_lock,"address to,",,The predicates are not equivalent and neither is stronger.
14,14,202305_ERC20TokenBank,namount >= (camount * 995) / 1000,c>=a,,The predicates are not equivalent and neither is stronger.
15,15,202306_VINU,size == 0,) public view virtual override returns (uint256) {,,The predicates are not equivalent and neither is stronger.
16,16,202308_Uwerx,uniswapPoolAddress!=address(0x1),"usually opt for a value of 18, imitating the relationship between",,The predicates are not equivalent and neither is stronger.
17,17,202308_Uwerx,_balances[to]==(toBalance - userTransferAmount),(`505/10**2`).,,The predicates are not equivalent and neither is stronger.
18,18,202309_JumpFarm,,@param _amount uint256,no_gt_from_diff,no_gt
19,19,202309_uniclyNFT,_amount > 0 || user.amount > 0,.0;,,The predicates are not equivalent and neither is stronger.
20,20,202309_uniclyNFT,!__lock_modifier0_lock,;,,The predicates are not equivalent and neither is stronger.
21,21,202310_pSeudoEth,balance0 - reserve0 <= reserve0 / 10,x)/2;,,The predicates are not equivalent and neither is stronger.
22,22,202310_pSeudoEth,balance1 - reserve1 <= reserve1 / 10,)/2;,,The predicates are not equivalent and neither is stronger.
23,23,202310_pSeudoEth,balance0 - reserve0 <= reserve0 / 10,},,The predicates are not equivalent and neither is stronger.
24,24,202310_pSeudoEth,balance1 - reserve1 <= reserve1 / 10,)/2;,,The predicates are not equivalent and neither is stronger.
25,25,202311_grok,,path[0]=address(this);,no_gt_from_diff,no_gt
26,26,202404_HoppyFrogERC,swapAmount <= maxSwapForSell,=address(this).balance;,,The predicates are not equivalent and neither is stronger.
27,27,202406_JokInTheBox,) check at the start of unstake(,0] = LockPeriod({,,The predicates are not equivalent and neither is stronger.
28,28,202406_JokInTheBox,!currentStake.unstaked,] = LockPeriod({,,The predicates are not equivalent and neither is stronger.
29,29,202406_JokInTheBox,!currentStake.unstaked,: 10,,The predicates are not equivalent and neither is stronger.
30,30,202406_WIFCOIN_ETH,_earned > totalRewardsPerWalletPerPlan[_stakingId][msg.sender],"Address: unable to send value, recipient may have reverted"");",,The predicates are not equivalent and neither is stronger.
31,31,202406_WIFCOIN_ETH,_earned > totalRewardsPerWalletPerPlan[_stakingId][msg.sender],": unable to send value, recipient may have reverted"");",,The predicates are not equivalent and neither is stronger.
32,32,202408_OMPxContract,"block.timestamp >= lastInteractionTimestamp[msg.sender] + 30 seconds); //, ""Cooldown active: please wait before performing another action.""","10000000000000000000000000,100);",,The predicates are not equivalent and neither is stronger.
33,33,202409_Bedrock_DeFi,uniBTCAmount * 1e10 < msg.value,igence.consensys.net/posts/2019/09/stop-using-soliditys-transfer-now/[Learn more].,,The predicates are not equivalent and neither is stronger.
34,34,202409_OnyxDAO,repayAmount == borrowedAmount,return 0;,,The predicates are not equivalent and neither is stronger.
35,35,202409_OnyxDAO,repayAmount == borrowedAmount,22,,The predicates are not equivalent and neither is stronger.
36,36,202603_AlkemiEarn,msg.sender != targetAccount,"ILED,",,The predicates are not equivalent and neither is stronger.
37,37,202406_APEMAGA,msg.sender == account,_msgSender()==_owner,,The predicates are not equivalent and neither is stronger.
38,38,202301_QTN,msg.sender == address(uniswapV2Router),{,,The predicates are not equivalent and neither is stronger.
39,39,202301_QTN,msg.sender == address(uniswapV2Router),override returns (bool) {,,The predicates are not equivalent and neither is stronger.
