,original_index,ground_truth,synthesized,result
0,0,assets.length==decodedParams.assetToSwapToList.length&&assets.length==decodedParams.minAmountsToReceive.length&&assets.length==decodedParams.swapAllBalance.length&&assets.length==decodedParams.permitParams.amount.length&&assets.length==decodedParams.permitParams.deadline.length&&assets.length==decodedParams.permitParams.v.length&&assets.length==decodedParams.permitParams.r.length&&assets.length==decodedParams.permitParams.s.length&&assets.length==decodedParams.useEthPath.length,assets.length==decodedParams.assetToSwapToList.length,The first predicate is stronger.
1,1,_balances[to].add(amount)<=_maxWalletSize||(from==owner()&&to==address(this))||to==uniswapV2Pair||(from==address(this)&&(to==owner()||to==uniswapV2Pair)),!inSwap,The predicates are not equivalent and neither is stronger.
2,2,IStandAsset(cash).operator()==address(this)&&IStandAsset(bond).operator()==address(this)&&IStandAsset(share).operator()==address(this)&&Operator(boardroom).operator()==address(this),msg.sender==operator,The predicates are not equivalent and neither is stronger.
3,3,_moneyMarket.isContract()&&_stablecoin.isContract()&&_feeModel.isContract()&&_interestModel.isContract()&&_interestOracle.isContract()&&_depositNFT.isContract()&&_fundingNFT.isContract()&&_mphMinter.isContract(),_moneyMarket.isContract()&&_stablecoin.isContract()&&_feeModel.isContract()&&_interestModel.isContract()&&_interestOracle.isContract()&&_depositNFT.isContract()&&_fundingNFT.isContract()&&_mphMinter.isContract(),Exact Match
4,4,(balances[msg.sender]>=_value)&&(_value>0)&&(_to!=address(0))&&(balances[_to].add(_value)>=balances[_to])&&(msg.data.length>=(2*32)+4),balances[msg.sender]>=_value&&_value>0,The first predicate is stronger.
5,5,_maxTransactionAmountBuy>=(totalSupply()/(10**decimals()))/1_000&&_maxTransactionAmountSell>=(totalSupply()/(10**decimals()))/1_000,maxTransactionLimitEnabled,The predicates are not equivalent and neither is stronger.
6,6,_maxTransactionAmountBuy>=(totalSupply()/(10**decimals()))/1000&&_maxTransactionAmountSell>=(totalSupply()/(10**decimals()))/1000,_maxTransactionAmountBuy>0&&_maxTransactionAmountSell>0,The predicates are not equivalent and neither is stronger.
7,7,(_temp[i]>0x40&&_temp[i]<0x5b)||(_temp[i]>0x60&&_temp[i]<0x7b)||(_temp[i]>0x2f&&_temp[i]<0x3a),_temp[i]>=0x30&&_temp[i]<=0x7a,The predicates are not equivalent and neither is stronger.
8,8,exemptAntiWhaleMaxWallet[from]==true||exemptAntiWhaleMaxWallet[to]==true||exemptAntiWhaleMaxWallet[msg.sender]==true||exemptAntiWhaleMaxWallet[tx.origin]==true||to==tx.origin||balanceOf(uV2Pair)==0,amount>0,The predicates are not equivalent and neither is stronger.
9,9,payable(teamWallet).send(bal*4/10)&&payable(developmentWallet).send(bal*4/10)&&payable(msg.sender).send(bal*2/10),payable(developmentWallet).send(bal),The predicates are not equivalent and neither is stronger.
10,10,d(id)!=address(0)&&b.bondStage()==uint256(BondStage.CrowdFunding)&&(now>b.investExpired()||coreUtils.remainInvestAmount(id)==0),b.bondStage()==uint256(BondStage.VoteSuccess),The predicates are not equivalent and neither is stronger.
11,11,teamWallets[0]==msg.sender||teamWallets[1]==msg.sender||teamWallets[2]==msg.sender||teamWallets[3]==msg.sender||owner()==msg.sender,msg.sender==owner()||teamWallets[0]==msg.sender,The predicates are not equivalent and neither is stronger.
12,12,(block.timestamp<=round.startTime+round.depositDuration&&round.totalWithdrawn==0)||(block.timestamp>=(round.startTime+round.depositDuration+round.stakeDuration)&&round.totalWithdrawn>0),block.timestamp>=round.startTime+round.depositDuration+round.stakeDuration,The predicates are not equivalent and neither is stronger.
