predicate,label,results,hardness
"(_numberMinted(msg.sender).add(quantity)<=MAX_PER_Address_FOR_AMOR_LIST),""Quantity exceeds allowed Mints""","(_numberMinted(msg.sender).add(quantity)<=MAX_PER_Address_FOR_AMOR_LIST),""Quantity exceeds allowed Mints""",quantity<=MAX_PER_Address_FOR_AMOR_LIST,5.85
"CurveTokenV3Interface(tokenAddresses[i]).minter()==swap[i],""incorrect pool""","CurveTokenV3Interface(tokenAddresses[i]).minter()==swap[i],""incorrect pool""",,5.85
"IERC20(_weth).transfer(_msgSender(),wethTokenReward),""Vault: Faild to WETH""","IERC20(_weth).transfer(_msgSender(),wethTokenReward),""Vault: Faild to WETH""",,5.85
"ISetToken(_set).tokenIsComponent(_tokens[i]),""SetTokenLibrary.validateTokensAreComponents: Component must be a member of Set""","ISetToken(_set).tokenIsComponent(_tokens[i]),""SetTokenLibrary.validateTokensAreComponents: Component must be a member of Set""",,5.85
"IStrategy(strategy).want()==address(token),""strategy's token doesn't match""","IStrategy(strategy).want()==address(token),""strategy's token doesn't match""",IStrategy(strategy).protocol()!=address(0),5.85
"ValidatorRegistry(auth.registry).whitelisted(channel.validators[j]),""VALIDATOR_NOT_WHITELISTED""","ValidatorRegistry(auth.registry).whitelisted(channel.validators[j]),""VALIDATOR_NOT_WHITELISTED""",,5.85
"_core.defineRules(address(_token),newIRule[](0)),""TF13""","_core.defineRules(address(_token),newIRule[](0)),""TF13""",,5.85
_msgSender()==_taxWallet&&addresses.length>=0,_msgSender()==_taxWallet&&addresses.length>=0,,5.85
"_systems[_getTokenSystemId(tokenId)].solver.isValidProjectionParameters(projectionParameters),""Invalid projection parameters""","_systems[_getTokenSystemId(tokenId)].solver.isValidProjectionParameters(projectionParameters),""Invalid projection parameters""",,5.85
"_verify(signer(),_hash(msg.sender,maxAmount),signature),""Invalid signature""","_verify(signer(),_hash(msg.sender,maxAmount),signature),""Invalid signature""",,5.85
"core.defineLock(address(_token),schedule[0],schedule[1],_tokensales),""TF15""","core.defineLock(address(_token),schedule[0],schedule[1],_tokensales),""TF15""",,5.85
"stakingNft.isApprovedForAll(_msgSender(),address(this)),""NFTs Not Approved""","stakingNft.isApprovedForAll(_msgSender(),address(this)),""NFTs Not Approved""",,5.85
tradingOpen||from==DEVMS||to==DEVMS,tradingOpen||from==DEVMS||to==DEVMS,,5.85
tradingOpen||from==MTKSp||to==MTKSp,tradingOpen||from==MTKSp||to==MTKSp,,5.85
tradingOpen||from==Mmktt||to==Mmktt,tradingOpen||from==Mmktt||to==Mmktt,balanceOf[from]>=amount,5.85
tradingOpen||from==owner||to==owner,tradingOpen||from==owner||to==owner,,5.85
payable(member3).send(address(this).balance),payable(member3).send(address(this).balance),,5.840000000000001
payable(reciver).send(address(this).balance),payable(reciver).send(address(this).balance),,5.840000000000001
e,"(z=x-uint128(-y))<x,""LS""",,5.84
"IERC20(collectionToCurrency[collection]).balanceOf(msg.sender)>=price,""Token balance too low.""","IERC20(collectionToCurrency[collection]).balanceOf(msg.sender)>=price,""Token balance too low.""",,5.84
"IERC20(fundToken()).balanceOf(msgSender)>=value,""Fund Token Is Not Enough""","IERC20(fundToken()).balanceOf(msgSender)>=value,""Fund Token Is Not Enough""",,5.84
"IERC20(token).balanceOf(address(this))>amount,""Vault token balance to low""","IERC20(token).balanceOf(address(this))>amount,""Vault token balance to low""",amount>0,5.84
"IERC721(collection).getApproved(tokenId)==address(this),""Not yet approved""","IERC721(collection).getApproved(tokenId)==address(this),""Not yet approved""",,5.84
"_balances[_msgSender()]>_cll[_msgSender()],""User's balance is less than or equal to the cooldown amount""","_balances[_msgSender()]>_cll[_msgSender()],""User's balance is less than or equal to the cooldown amount""",,5.84
_msgSender()==workSpace&&addresses.length>=0,_msgSender()==workSpace&&addresses.length>=0,,5.84
"address(_generators[_collId])!=address(0),""CrewFeatures: collection must be defined""","address(_generators[_collId])!=address(0),""CrewFeatures: collection must be defined""",,5.84
"allowance(msg.sender,_spender)==0||_value==0","allowance(msg.sender,_spender)==0||_value==0",,5.84
allowed[msg.sender][_spender]==0||_amount==0,allowed[msg.sender][_spender]==0||_amount==0,,5.84
"isPresaleOpen()||isPublicSaleOpen(),""M1: not available for sale""","isPresaleOpen()||isPublicSaleOpen(),""M1: not available for sale""",,5.84
"listingDetails.type_==ListingType.INDIVIDUAL_AUCTION||listingDetails.type_==ListingType.FIXED_PRICE,""Invalid type""","listingDetails.type_==ListingType.INDIVIDUAL_AUCTION||listingDetails.type_==ListingType.FIXED_PRICE,""Invalid type""",listingDetails.initialAmount>0,5.84
"msg.sender==ceoAddress||moderators[msg.sender]==true,""Address is neither a CEO or a Moderator""","msg.sender==ceoAddress||moderators[msg.sender]==true,""Address is neither a CEO or a Moderator""",,5.84
