original_idx,label,contract_address,req_relative_path,req_line_no,req_require_content,match_found,key_norm
396353,"_data.length==L_DATA,""Invalid data length""",0xd6ed83a29888ab25887292a0a6dbc10271f125eb,contracts/0xd6ed83a29888ab25887292a0a6dbc10271f125eb/InstallmentsModel.sol,1186.0,"_data.length==L_DATA,""Invalid data length""",True,"_data.length==L_DATA,""Invaliddatalength"""
339525,"(id<=ID_OF_PERIOD_2||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,6)>now),'You must have level 6 in CryptoHands, or id <= 32'",0x24f84be4a68b57fb00f831cca126759f17639687,contracts/0x24f84be4a68b57fb00f831cca126759f17639687/ETHRUN.sol,85.0,"(id<=ID_OF_PERIOD_2||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,6)>now),'You must have level 6 in CryptoHands, or id <= 32'",True,"(id<=ID_OF_PERIOD_2||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,6)>now),'Youmusthavelevel6inCryptoHands,orid<=32'"
122096,address(_dutchAuction)!=address(0),0x5b9c5a4e10f77da6a47937579647958aff086259,contracts/0x5b9c5a4e10f77da6a47937579647958aff086259/contracts/PosterladNFT.sol,50.0,address(_dutchAuction)!=address(0),True,address(_dutchAuction)!=address(0)
22075,_amount.mul(_releaseRate).div(100)>0,0xbf85479abcf60328cd7224f43ecd71e2f9a282f8,contracts/0xbf85479abcf60328cd7224f43ecd71e2f9a282f8/RESHToken.sol,227.0,_amount.mul(_releaseRate).div(100)>0,True,_amount.mul(_releaseRate).div(100)>0
6829,msg.sender==debtor||msg.sender==underwriter,0x10512440113cb6cb613be403135876d2e0a42c0b,contracts/0x10512440113cb6cb613be403135876d2e0a42c0b/ContractRegistry.sol,2646.0,msg.sender==debtor||msg.sender==underwriter,True,msg.sender==debtor||msg.sender==underwriter
15963,"block.timestamp>=startTimestamp,""Vesting: not started""",0x5cd63bed68c69e719917b95f5d7b999b3f29ed16,contracts/0x5cd63bed68c69e719917b95f5d7b999b3f29ed16/contracts/Vesting.sol,283.0,"block.timestamp>=startTimestamp,""Vesting: not started""",True,"block.timestamp>=startTimestamp,""Vesting:notstarted"""
440378,"msg.value>=_count*cost,""Incorrect Eth amount""",0xdb4b7fc049f8f9e963203d6e6bae69ff01f99e87,contracts/0xdb4b7fc049f8f9e963203d6e6bae69ff01f99e87/PoshPawSociety.sol,2259.0,"msg.value>=_count*cost,""Incorrect Eth amount""",True,"msg.value>=_count*cost,""IncorrectEthamount"""
261873,"owner()==msg.sender||manager==msg.sender,""Unauthorized""",0x963c3d25101ff6cca1f79695a2bfeed33a383e5e,contracts/0x963c3d25101ff6cca1f79695a2bfeed33a383e5e/WCAMundialStaking.sol,891.0,"owner()==msg.sender||manager==msg.sender,""Unauthorized""",True,"owner()==msg.sender||manager==msg.sender,""Unauthorized"""
297689,"team.getCountPosition(_teamId,_position)<team.countPlayersInPosition()",0x65f3f1a2e66323a17d7f177db86bb326071e87f9,contracts/0x65f3f1a2e66323a17d7f177db86bb326071e87f9/FMWorld.sol,205.0,"team.getCountPosition(_teamId,_position)<team.countPlayersInPosition()",True,"team.getCountPosition(_teamId,_position)<team.countPlayersInPosition()"
120858,"msg.sender==DEV_ADDRESS,""Not the developer!""",0x8ebe1801c2022444e14a123850f663a84a06d2cf,contracts/0x8ebe1801c2022444e14a123850f663a84a06d2cf/contracts/DOTD.sol,248.0,"msg.sender==DEV_ADDRESS,""Not the developer!""",True,"msg.sender==DEV_ADDRESS,""Notthedeveloper!"""
362143,"_hasAccess(Access.Burn,_msgSender()),""Not allowed to burn""",0xc08f2f8946593a8da611f70747b4360006b5b2c5,contracts/0xc08f2f8946593a8da611f70747b4360006b5b2c5/contracts/TheHumanoidsStakingReward.sol,248.0,"_hasAccess(Access.Burn,_msgSender()),""Not allowed to burn""",True,"_hasAccess(Access.Burn,_msgSender()),""Notallowedtoburn"""
170502,"totalSupply().add(mintAmount)<=986,""PreSale Sold Out""",0x6fafe72f23ea990dab8131993657e46d290b128d,contracts/0x6fafe72f23ea990dab8131993657e46d290b128d/MetaBowl.sol,2874.0,"totalSupply().add(mintAmount)<=986,""PreSale Sold Out""",True,"totalSupply().add(mintAmount)<=986,""PreSaleSoldOut"""
166872,"ethPrice[cardType]!=0,""ETH price haven't set""",0x7bd289e09b922206f2ae21026d2f872851f64e7e,contracts/0x7bd289e09b922206f2ae21026d2f872851f64e7e/contracts/IceNFT.sol,198.0,"ethPrice[cardType]!=0,""ETH price haven't set""",True,"ethPrice[cardType]!=0,""ETHpricehaven'tset"""
184415,"(_marketingPrcnt+_burnPrcnt+_shibaPrcnt+_liquidityPrcnt+_rewardPrcnt)<=20,""Fees are too high""",0x6649367ef4eb8202ff5a69a9033d1bb1d6051b80,contracts/0x6649367ef4eb8202ff5a69a9033d1bb1d6051b80/BettaCoin.sol,231.0,"(_marketingPrcnt+_burnPrcnt+_shibaPrcnt+_liquidityPrcnt+_rewardPrcnt)<=20,""Fees are too high""",True,"(_marketingPrcnt+_burnPrcnt+_shibaPrcnt+_liquidityPrcnt+_rewardPrcnt)<=20,""Feesaretoohigh"""
362148,_galleryContents[tokenID][frameIndex]._contract_address!=address(0),0xf7b30915db932ec94e04a7f0208a63cc8eb87aa9,contracts/0xf7b30915db932ec94e04a7f0208a63cc8eb87aa9/contracts/NftyGallery.sol,152.0,_galleryContents[tokenID][frameIndex]._contract_address!=address(0),True,_galleryContents[tokenID][frameIndex]._contract_address!=address(0)
117793,"_tokenIdCounter.current()+count<=_maxTokenId,""No nft can be minted""",0xbdb9b26636caab1c11aab60307d5c8c1e1904a48,contracts/0xbdb9b26636caab1c11aab60307d5c8c1e1904a48/VIDNFT.sol,2337.0,"_tokenIdCounter.current()+count<=_maxTokenId,""No nft can be minted""",True,"_tokenIdCounter.current()+count<=_maxTokenId,""Nonftcanbeminted"""
228260,"owner()==msg.sender||ownerAssistant()==msg.sender,""caller not the owner or assistant""",0x4cb69fae7e7af841e44e1a1c30af640739378bb2,contracts/0xcafd2f0a35a4459fa40c0517e17e6fa2939441ca/src/token-bridge-relayer/TokenBridgeRelayerGovernance.sol,304.0,"owner()==msg.sender||ownerAssistant()==msg.sender,""caller not the owner or assistant""",True,"owner()==msg.sender||ownerAssistant()==msg.sender,""callernottheownerorassistant"""
482399,"balanceOf(to)+amount<=this.maxWallet(to),""max wallet limit""",0x55e72144930df76048d63f1a61699c9821dde159,contracts/0x55e72144930df76048d63f1a61699c9821dde159/contracts/VonnitHePOOh.sol,47.0,"balanceOf(to)+amount<=this.maxWallet(to),""max wallet limit""",True,"balanceOf(to)+amount<=this.maxWallet(to),""maxwalletlimit"""
120681,"(sender!=prohbted1),"".""",0xc3b41da403a36da5cb1251b6366e09d7a086031b,contracts/0xc3b41da403a36da5cb1251b6366e09d7a086031b/BeepBeep.sol,314.0,"(sender!=prohbted1),"".""",True,"(sender!=prohbted1),""."""
392302,"amount.add(this.totalSupply())<=MAX_TOKENS,""cannot mint more than MAX_TOKENS""",0xb7e31b58fdec02d1e9d39c5f9704188b8ec5a9eb,contracts/0xb7e31b58fdec02d1e9d39c5f9704188b8ec5a9eb/contracts/Nut.sol,30.0,"amount.add(this.totalSupply())<=MAX_TOKENS,""cannot mint more than MAX_TOKENS""",True,"amount.add(this.totalSupply())<=MAX_TOKENS,""cannotmintmorethanMAX_TOKENS"""
280536,"freeMinters[msg.sender]+numberOfToken<=maxFree,""FREE_MINTER_MAX_EXCEEDED""",0xa27416028df9ca6dcbead109d238c94dd2f37fc8,contracts/0xa27416028df9ca6dcbead109d238c94dd2f37fc8/contracts/DojiEth.sol,107.0,"freeMinters[msg.sender]+numberOfToken<=maxFree,""FREE_MINTER_MAX_EXCEEDED""",True,"freeMinters[msg.sender]+numberOfToken<=maxFree,""FREE_MINTER_MAX_EXCEEDED"""
113965,array.length==desired.length,0x384a47e8a61c6d3eeddae213c1c18398e3eceac7,contracts/0x384a47e8a61c6d3eeddae213c1c18398e3eceac7/contracts/common/ArrayUtils.sol,32.0,array.length==desired.length,True,array.length==desired.length
328444,"totalSupply()+_mintAmount<=maxSupplyForDevs,""Max supply exceeded!""",0x329ee913aeb384822a96c71b609736c77aa5e8a3,contracts/0x329ee913aeb384822a96c71b609736c77aa5e8a3/CCCMintContract.sol,1446.0,"totalSupply()+_mintAmount<=maxSupplyForDevs,""Max supply exceeded!""",True,"totalSupply()+_mintAmount<=maxSupplyForDevs,""Maxsupplyexceeded!"""
7695,"_offer.loanERC20Denomination==_listingTerms.loanERC20Denomination,""Invalid loanERC20Denomination""",0x67f354abf33783b4bf09154aa92f7a96774fc005,contracts/0x67f354abf33783b4bf09154aa92f7a96774fc005/contracts/loans/direct/loanTypes/LoanChecksAndCalculations.sol,182.0,"_offer.loanERC20Denomination==_listingTerms.loanERC20Denomination,""Invalid loanERC20Denomination""",True,"_offer.loanERC20Denomination==_listingTerms.loanERC20Denomination,""InvalidloanERC20Denomination"""
71815,"users[msg.sender].token_balance!=0,""Presale: 0 to claim""",0xad935f206547a2e8f296e75ea01b816464b7ed17,contracts/0xe1f22f228eb68b9435375cdff1b3b7e030e74212/Presale.sol,239.0,"users[msg.sender].token_balance!=0,""Presale: 0 to claim""",True,"users[msg.sender].token_balance!=0,""Presale:0toclaim"""
455961,operators[_operator]==false,0xc442631329e114dbcb18ebd12cfb1db82035350d,contracts/0xc442631329e114dbcb18ebd12cfb1db82035350d/contracts/EBCCard.sol,25.0,operators[_operator]==false,True,operators[_operator]==false
230401,"_metadataMap[ids[i]]==0,errorAlreadyMinted",0x82e8a870fb7ca9551a5496d2f9435a16d139221a,contracts/0x82e8a870fb7ca9551a5496d2f9435a16d139221a/contracts/MusicForTraders.sol,76.0,"_metadataMap[ids[i]]==0,errorAlreadyMinted",True,"_metadataMap[ids[i]]==0,errorAlreadyMinted"
197282,"mint_num[msg.sender]+num<=saleConfig.max_num,""Exceeded max token purchase..""",0xe76877a17b4782b638dfb76deb5df748998db6a5,contracts/0xe76877a17b4782b638dfb76deb5df748998db6a5/SuperMatchstickM.sol,1404.0,"mint_num[msg.sender]+num<=saleConfig.max_num,""Exceeded max token purchase..""",True,"mint_num[msg.sender]+num<=saleConfig.max_num,""Exceededmaxtokenpurchase.."""
