,original_index,ground_truth,synthesized,result
0,0,_to!=address(0),_to!=address(0),Exact Match
1,1,_value>0&&_value<=balances[msg.sender],_value>0&&_value<=balances[msg.sender],Exact Match
2,2,_to!=address(0),_to!=address(0),Exact Match
3,3,_value>0&&_value<=balances[_from],_value>0&&_value<=balances[_from],Exact Match
4,4,_value<=allowed[_from][msg.sender],_value<=allowed[_from][msg.sender],Exact Match
5,5,msg.sender==owner,msg.sender==owner,Exact Match
6,6,newOwner!=address(0),newOwner!=address(0),Exact Match
7,7,!paused,!paused,Exact Match
8,8,paused,paused,Exact Match
9,9,cnt>0&&cnt<=20,cnt<=255,The first predicate is stronger.
10,10,_value>0&&balances[msg.sender]>=amount,amount<=balances[msg.sender],The first predicate is stronger.
11,11,msg.sender==owner,msg.sender==owner,Exact Match
12,12,_newOwner!=owner,,The predicates are not equivalent and neither is stronger.
13,13,msg.sender==newOwner,msg.sender==newOwner,Exact Match
14,14,_addr!=msg.sender,_addr!=0x0,The predicates are not equivalent and neither is stronger.
15,15,_balances[msg.sender]>=amount,,The predicates are not equivalent and neither is stronger.
16,16,_allowances[msg.sender][from]>=amount,,The predicates are not equivalent and neither is stronger.
17,17,_balances[from]>=amount,,The predicates are not equivalent and neither is stronger.
18,18,_balances[msg.sender]>=amount,,The predicates are not equivalent and neither is stronger.
19,19,amount>0,,The predicates are not equivalent and neither is stronger.
20,20,isBlacklistAdmin[msg.sender],,The predicates are not equivalent and neither is stronger.
21,21,!isBlacklisted[user],,The predicates are not equivalent and neither is stronger.
22,22,isBlacklisted[user],,The predicates are not equivalent and neither is stronger.
23,23,to.length==amount.length,,The predicates are not equivalent and neither is stronger.
24,24,_balances[msg.sender]>=amount[i],,The predicates are not equivalent and neither is stronger.
25,25,to.length==amount.length,,The predicates are not equivalent and neither is stronger.
26,26,_balances[msg.sender]>=amount*to.length,,The predicates are not equivalent and neither is stronger.
27,27,_balances[from]>=amount*to.length,,The predicates are not equivalent and neither is stronger.
28,28,isMinter[msg.sender],,The predicates are not equivalent and neither is stronger.
29,29,_totalSupply<maxSupply,,The predicates are not equivalent and neither is stronger.
30,30,msg.sender==owner,,The predicates are not equivalent and neither is stronger.
31,31,msg.sender==newOwner,,The predicates are not equivalent and neither is stronger.
32,32,isPauser[msg.sender],,The predicates are not equivalent and neither is stronger.
33,33,!paused,,The predicates are not equivalent and neither is stronger.
34,34,paused,,The predicates are not equivalent and neither is stronger.
35,35,deadline>=block.timestamp,,The predicates are not equivalent and neither is stronger.
36,36,recoveredAddress!=address(0)&&recoveredAddress==user,,The predicates are not equivalent and neither is stronger.
