,original_index,contract_id,ground_truth,synthesized,result
0,0,201804_BEC,_to!=address(0),_to!=address(0),Exact Match
1,1,201804_BEC,_value>0&&_value<=balances[msg.sender],_value>0&&_value<=balances[msg.sender],Exact Match
2,2,201804_BEC,_to!=address(0),_to!=address(0),Exact Match
3,3,201804_BEC,_value>0&&_value<=balances[_from],_value>0&&_value<=balances[_from],Exact Match
4,4,201804_BEC,_value<=allowed[_from][msg.sender],_value<=allowed[_from][msg.sender],Exact Match
5,5,201804_BEC,msg.sender==owner,msg.sender==owner,Exact Match
6,6,201804_BEC,newOwner!=address(0),newOwner!=address(0),Exact Match
7,7,201804_BEC,!paused,!paused,Exact Match
8,8,201804_BEC,paused,paused,Exact Match
9,9,201804_BEC,cnt>0&&cnt<=20,cnt>0&&cnt<=200,The first predicate is stronger.
10,10,201804_BEC,_value>0&&balances[msg.sender]>=amount,_value>0&&balances[msg.sender]>=amount,Exact Match
11,11,201804_BEC,_value<=uint256(-1)/cnt,_value<=balances[msg.sender],The predicates are not equivalent and neither is stronger.
12,12,201804_SmartMesh,msg.sender==owner,"(!_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",The predicates are not equivalent and neither is stronger.
13,13,201804_SmartMesh,_newOwner!=owner,"if(!_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",The predicates are not equivalent and neither is stronger.
14,14,201804_SmartMesh,msg.sender==newOwner,"_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",The predicates are not equivalent and neither is stronger.
15,15,201804_SmartMesh,_addr!=msg.sender,"(!_spender.call(bytes4(bytes32(keccak256(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)){",The predicates are not equivalent and neither is stronger.
16,16,201804_SmartMesh,total>=_feeSmt&&total>=_value,extraData)) revert();,The predicates are not equivalent and neither is stronger.
17,17,202008_Opyn,c>=a,"* these events, however is not implemented here.",The predicates are not equivalent and neither is stronger.
18,18,202008_Opyn,b<=a,IP may not emit,The predicates are not equivalent and neither is stronger.
